"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"908157956583280641","","","2017-09-14 02:38:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @rstudio: RStudio v1.1 Preview - The Little Things: https://t.co/mDna7C2huo #rstats","908015008923226112","235261861","2017-09-13 17:10:22 +0000","https://blog.rstudio.com/2017/09/13/rstudio-v1.1---the-little-things,https://blog.rstudio.com/2017/09/13/rstudio-v1.1---the-little-things"
"907400428853350406","907378217069174784","9308212","2017-09-12 00:28:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@rdpeng @xieyihui This is a very nice package. I have been using it for several months","","","",""
"907398491080679425","","","2017-09-12 00:20:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @pgbovine: This is similar in many fields ... https://t.co/96H2QdmbGK","907317068172746752","17773446","2017-09-11 18:57:00 +0000","https://twitter.com/poniewozik/status/907266834877034498,https://twitter.com/poniewozik/status/907266834877034498"
"907398225090490368","907386757720809477","69660252","2017-09-12 00:19:30 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@rajandevkota Aba hernu parcha jasto Cha","","","",""
"907369720453754880","","","2017-09-11 22:26:14 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @tomgauld: ‘Useful abbreviations for the time-pressed online reader’ (for @guardianreview) https://t.co/Kr9dGbobrg","907176391959080960","46090073","2017-09-11 09:38:01 +0000","https://twitter.com/tomgauld/status/907176391959080960/photo/1,https://twitter.com/tomgauld/status/907176391959080960/photo/1"
"907365063962619904","","","2017-09-11 22:07:43 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @fema: You should only return home when local officials say it's ok. Keep in mind #Irma may have ongoing impacts &amp; disruptions to daily…","907245481469849600","16669075","2017-09-11 14:12:33 +0000","https://twitter.com/fema/status/907245481469849600/photo/1"
"907270013769453569","","","2017-09-11 15:50:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Flying to NYC","","","",""
"907068373862801408","","","2017-09-11 02:28:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrRickKnabb: Continue to stay away from Gulf, bays, all salt water bodies along Florida Gulf coast. Water coming in quickly after cente…","907041332480430080","20031296","2017-09-11 00:41:20 +0000",""
"906587655437131776","","","2017-09-09 18:38:35 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Not good enough #manutdvsstoke #ManUtd","","","",""
"906565798654754817","","","2017-09-09 17:11:44 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SenDuckworth: Just broke my leg rowing — I blame my hardcore pace. Luckily, it no longer hurts to break a leg! https://t.co/slTWGx6sMD","905918332490174464","1058520120","2017-09-07 22:18:56 +0000","https://twitter.com/SenDuckworth/status/905918332490174464/photo/1,https://twitter.com/SenDuckworth/status/905918332490174464/photo/1"
"906565608761724928","","","2017-09-09 17:10:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Lhatseri: This video is circulating on Wechat &amp; Weibo, melting permafrost, flowing like lava in #Tibet. https://t.co/lKISKIbvAZ","906175294649753600","16588298","2017-09-08 15:20:00 +0000","https://twitter.com/Lhatseri/status/906175294649753600/video/1,https://twitter.com/Lhatseri/status/906175294649753600/video/1"
"905976935041220608","","","2017-09-08 02:11:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Joining career coach @ASHLEYSTAHL on her free training to learn resume tips","","","",""
"905844078570496001","905597010719383552","44195788","2017-09-07 17:23:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@scheidegger Just tried in on desktop. Works. This is amazing.","","","",""
"905843318982033409","","","2017-09-07 17:20:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @scheidegger: oh my god I can now talk math on facebook messenger. this changes everythingggggggg https://t.co/aZzqVbUhF6","905597010719383552","44195788","2017-09-07 01:02:07 +0000","https://twitter.com/scheidegger/status/905597010719383552/photo/1,https://twitter.com/scheidegger/status/905597010719383552/photo/1"
"905842575365423104","904899937627906049","1279362427","2017-09-07 17:17:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@NamrataaS where can we watch this theater play ?","","","",""
"905620036928147456","","","2017-09-07 02:33:37 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @romain_francois: #funwithflags 
emo::jis %&gt;% 
   filter( category == ""Flags"" &amp; vendor_apple ) %&gt;% 
   pull( emoji ) %&gt;% 
   paste( coll…","905537589175869441","377578645","2017-09-06 21:05:59 +0000","https://twitter.com/romain_francois/status/905537589175869441/photo/1"
"905514889652748288","","","2017-09-06 19:35:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @itsjustolmos: ""Tell Cersei. I want her to know it was me."" https://t.co/xlNzVlwWVf","904802256851218436","5293842","2017-09-04 20:24:03 +0000","https://twitter.com/itsjustolmos/status/904802256851218436/photo/1,https://twitter.com/itsjustolmos/status/904802256851218436/photo/1"
